Chronological Number,Title,Subtitle,Year Signed or Completed,Media,Substrate,Width in CM,Height in CM,Price,Tag 1, Tag 2, Tag 3
000001,Parachute Girl No. 2:,Portrait of Lee,2021,oil, canvas,25,35,0,...,...,...
000002,Horse No. 1,...,2021,oil,board,14,14,120,animal,horse,small works
000003,Treasure Island to Emeryville No. 4, ,2021,Oil,board,14,14,120,landscape,small works,...
000004,Treasure Island No. 3,...,2021,watercolor,cold press paper,14,14,85,landscape,...,...
000005,Houseplant No. 1,...,2021,watercolor,cold press paper,18.5,40,80,watercolor,...,...
000006,The Red Train NÂº1,...,2022,oil,linen,39,49,250,landscape,red,train
000007,Tree Climber No. 2,...,2021,Oil,Canvas mounted on panel,28,40,250,yellow,child,tree
000008,"Man, Dog, Hellebore",...,2021,Oil,Canvas,61,92,2800,flower,yellow,blue
000009,"Orisons, Yellow",...,2021,Oil,Canvas,41,51,1400,flower,yellow,surrealism
000010,"Orisons, Orange",...,2021,Oil,Canvas,41,51,1400,flower,orange,surrealism
000011,"Orisons, Red",...,2021,Oil,Canvas,41,51,1400,flower,red,surrealism
000012,Time Traveler,...,2022,Oil,Paper,28,30,225,blue,dog,...
